CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,default,application_year,application_month
less_0,35,prior_payments_delayed,retraining,3566,100_to_500,1_to_4,3,male,co-applicant,4,savings_insurance,32,bank,free,2,unemployed,1,yes,no,1,2022,4
no_checking,35,all_credits_paid_back,furniture,5121,100_to_500,less_1,3,female,co-applicant,5,savings_insurance,34,none,own,1,skilled,1,none,yes,1,2024,6
less_0,15,credits_paid_to_date,retraining,1856,less_100,1_to_4,2,female,none,2,savings_insurance,24,bank,rent,1,unskilled,1,none,yes,0,2024,7
0_to_200,13,prior_payments_delayed,car_new,7658,100_to_500,1_to_4,1,male,none,4,car_other,33,none,rent,2,management_self-employed,1,none,yes,0,2024,2
0_to_200,20,prior_payments_delayed,radio_tv,3475,greater_1000,1_to_4,3,male,none,2,unknown,25,none,own,1,skilled,1,yes,yes,0,2022,9
no_checking,32,prior_payments_delayed,radio_tv,9296,greater_1000,less_1,4,male,none,3,real_estate,53,bank,own,1,management_self-employed,2,none,no,1,2021,9
no_checking,8,credits_paid_to_date,furniture,1178,greater_1000,4_to_7,1,male,none,4,savings_insurance,44,none,own,1,skilled,1,yes,yes,0,2024,11
0_to_200,30,outstanding_credit,furniture,5991,100_to_500,greater_7,3,male,none,4,unknown,45,none,own,2,skilled,1,yes,yes,1,2023,9
0_to_200,25,credits_paid_to_date,repairs,2930,greater_1000,greater_7,2,male,co-applicant,2,real_estate,50,bank,own,1,unemployed,1,none,yes,1,2024,4
no_checking,31,all_credits_paid_back,furniture,4708,100_to_500,less_1,1,female,co-applicant,4,savings_insurance,32,none,own,1,skilled,1,none,yes,1,2022,4
greater_200,6,all_credits_paid_back,education,4714,less_100,unemployed,2,female,none,3,savings_insurance,30,none,own,1,management_self-employed,1,none,yes,0,2023,11
no_checking,20,credits_paid_to_date,other,2384,100_to_500,unemployed,3,female,none,1,savings_insurance,33,stores,rent,2,skilled,1,none,no,0,2021,4
no_checking,24,prior_payments_delayed,appliances,2428,unknown,4_to_7,3,male,co-applicant,2,savings_insurance,32,none,own,1,skilled,1,none,yes,0,2024,12
0_to_200,20,credits_paid_to_date,retraining,4572,less_100,4_to_7,4,female,none,1,unknown,38,none,own,1,skilled,2,none,yes,0,2024,3
less_0,12,prior_payments_delayed,furniture,2205,500_to_1000,greater_7,4,male,none,2,car_other,37,stores,own,3,skilled,1,none,yes,0,2021,3
no_checking,34,prior_payments_delayed,appliances,5793,500_to_1000,greater_7,4,male,none,3,car_other,41,stores,own,2,unskilled,2,yes,yes,1,2021,2
greater_200,24,credits_paid_to_date,radio_tv,6761,less_100,less_1,4,male,none,3,car_other,31,stores,own,2,unskilled,1,none,yes,0,2023,7
no_checking,46,outstanding_credit,appliances,7023,unknown,greater_7,3,male,co-applicant,4,unknown,60,bank,own,3,unemployed,1,yes,yes,1,2023,1
0_to_200,14,credits_paid_to_date,car_new,2669,less_100,less_1,3,female,none,3,savings_insurance,21,none,own,2,management_self-employed,1,none,yes,0,2023,9
no_checking,10,prior_payments_delayed,furniture,908,unknown,4_to_7,4,male,none,4,car_other,41,none,own,2,skilled,1,yes,yes,0,2022,5
less_0,14,all_credits_paid_back,furniture,250,less_100,unemployed,1,female,none,4,savings_insurance,19,bank,rent,2,unemployed,2,yes,yes,0,2021,7
no_checking,24,prior_payments_delayed,education,5345,100_to_500,4_to_7,4,male,none,5,car_other,48,none,own,1,management_self-employed,1,yes,yes,1,2022,1
greater_200,37,all_credits_paid_back,business,6294,greater_1000,unemployed,4,female,none,3,real_estate,38,none,own,2,management_self-employed,2,none,yes,1,2021,5
no_checking,43,outstanding_credit,appliances,6244,greater_1000,greater_7,4,male,co-applicant,1,unknown,49,none,own,2,skilled,1,none,yes,1,2023,12
no_checking,28,outstanding_credit,furniture,5080,greater_1000,greater_7,4,male,none,5,car_other,40,none,own,1,skilled,1,none,yes,1,2021,4
0_to_200,6,all_credits_paid_back,car_new,250,less_100,1_to_4,1,female,none,1,real_estate,29,none,own,1,skilled,1,none,yes,0,2023,3
no_checking,30,prior_payments_delayed,radio_tv,6235,500_to_1000,1_to_4,4,male,none,5,savings_insurance,39,none,own,2,management_self-employed,1,none,yes,1,2023,8
less_0,46,outstanding_credit,appliances,3954,100_to_500,1_to_4,4,male,none,4,unknown,26,bank,own,2,unskilled,2,yes,yes,0,2022,2
no_checking,26,prior_payments_delayed,radio_tv,9308,500_to_1000,less_1,3,male,none,4,car_other,40,none,own,3,management_self-employed,1,none,yes,0,2022,1
no_checking,30,no_credits,vacation,8439,500_to_1000,1_to_4,4,male,none,1,real_estate,41,stores,rent,1,unemployed,1,none,no,0,2024,4
no_checking,14,credits_paid_to_date,repairs,6594,less_100,less_1,3,female,none,2,car_other,38,none,own,1,management_self-employed,1,yes,yes,0,2024,5
no_checking,15,no_credits,radio_tv,3547,less_100,unemployed,3,male,co-applicant,1,unknown,29,bank,own,1,unemployed,2,yes,yes,0,2023,6
no_checking,6,credits_paid_to_date,furniture,579,greater_1000,4_to_7,1,male,none,5,savings_insurance,49,none,own,3,skilled,1,yes,yes,0,2022,9
less_0,6,all_credits_paid_back,car_used,250,less_100,1_to_4,2,male,none,4,savings_insurance,29,stores,rent,1,skilled,1,none,yes,1,2021,1
less_0,15,all_credits_paid_back,appliances,250,less_100,unemployed,1,female,none,1,car_other,33,stores,own,1,skilled,1,none,yes,1,2022,7
no_checking,25,prior_payments_delayed,radio_tv,1627,100_to_500,4_to_7,2,female,none,5,savings_insurance,58,none,free,1,skilled,1,yes,yes,1,2021,5
0_to_200,27,credits_paid_to_date,retraining,1923,less_100,less_1,2,female,none,1,savings_insurance,29,stores,own,1,skilled,1,none,yes,0,2021,1
no_checking,8,prior_payments_delayed,radio_tv,1533,100_to_500,greater_7,3,male,none,3,savings_insurance,39,none,own,2,management_self-employed,1,none,yes,1,2023,2
greater_200,21,credits_paid_to_date,car_new,373,greater_1000,less_1,1,male,co-applicant,2,real_estate,46,none,own,1,skilled,1,yes,yes,0,2021,4
no_checking,37,outstanding_credit,other,7290,unknown,greater_7,4,female,co-applicant,2,unknown,44,stores,rent,2,unskilled,2,yes,yes,1,2023,7
less_0,13,prior_payments_delayed,car_used,1348,100_to_500,4_to_7,1,male,none,5,car_other,35,stores,rent,1,skilled,1,none,yes,0,2022,7
no_checking,13,outstanding_credit,appliances,1749,100_to_500,greater_7,4,male,none,2,car_other,51,none,own,1,management_self-employed,1,none,yes,0,2021,5
less_0,9,all_credits_paid_back,car_used,294,less_100,less_1,3,female,none,1,real_estate,19,stores,own,1,skilled,1,none,yes,0,2023,4
no_checking,43,prior_payments_delayed,other,5297,unknown,greater_7,4,male,none,3,savings_insurance,41,none,own,4,skilled,2,yes,yes,1,2021,7
no_checking,22,prior_payments_delayed,car_used,7913,100_to_500,1_to_4,4,male,none,3,car_other,43,none,free,1,management_self-employed,1,none,yes,0,2023,7
0_to_200,15,credits_paid_to_date,furniture,2531,100_to_500,4_to_7,2,female,none,4,car_other,43,none,own,3,skilled,1,yes,yes,0,2022,2
less_0,12,all_credits_paid_back,furniture,2311,less_100,less_1,1,female,none,1,car_other,32,bank,own,1,unemployed,1,none,yes,0,2021,7
greater_200,6,all_credits_paid_back,car_new,3013,less_100,1_to_4,3,female,none,2,car_other,52,none,own,1,skilled,2,yes,yes,0,2024,12
less_0,19,credits_paid_to_date,furniture,2755,less_100,4_to_7,1,male,none,1,savings_insurance,36,bank,own,1,unemployed,2,none,yes,0,2024,11
no_checking,25,prior_payments_delayed,appliances,3150,500_to_1000,less_1,4,female,co-applicant,3,savings_insurance,25,none,own,2,skilled,1,yes,yes,1,2022,3
0_to_200,13,credits_paid_to_date,car_used,4588,less_100,less_1,3,male,none,1,real_estate,28,none,rent,1,skilled,1,none,yes,0,2022,5
no_checking,26,prior_payments_delayed,business,6699,greater_1000,greater_7,2,male,none,3,car_other,49,none,own,2,skilled,1,none,yes,1,2021,8
greater_200,29,no_credits,other,1946,100_to_500,greater_7,4,female,co-applicant,4,real_estate,30,none,free,1,skilled,1,none,no,0,2021,11
0_to_200,33,credits_paid_to_date,car_used,250,100_to_500,4_to_7,4,male,none,5,car_other,38,bank,own,1,unemployed,1,yes,yes,0,2024,3
0_to_200,16,credits_paid_to_date,furniture,870,less_100,less_1,1,female,none,1,savings_insurance,47,stores,own,1,skilled,1,none,yes,0,2023,11
0_to_200,25,credits_paid_to_date,radio_tv,4319,less_100,4_to_7,4,female,none,3,unknown,54,stores,own,2,skilled,1,yes,yes,0,2023,2
no_checking,31,prior_payments_delayed,appliances,3955,500_to_1000,less_1,3,female,co-applicant,4,savings_insurance,25,none,own,1,skilled,1,yes,yes,1,2022,8
less_0,28,credits_paid_to_date,business,2474,less_100,less_1,4,male,none,4,savings_insurance,25,none,own,1,skilled,1,none,yes,0,2024,10
no_checking,45,credits_paid_to_date,vacation,5576,unknown,greater_7,4,male,none,5,car_other,33,none,own,2,skilled,2,yes,yes,1,2024,5
no_checking,9,outstanding_credit,appliances,1923,100_to_500,greater_7,4,male,none,5,car_other,40,none,own,2,management_self-employed,1,none,yes,0,2024,3
no_checking,49,outstanding_credit,appliances,6304,unknown,greater_7,3,male,co-applicant,3,unknown,56,bank,own,3,unemployed,2,yes,yes,1,2022,7
0_to_200,6,prior_payments_delayed,car_new,250,less_100,1_to_4,1,male,none,3,real_estate,35,none,own,2,skilled,1,none,yes,0,2024,1
no_checking,12,credits_paid_to_date,car_used,4488,less_100,4_to_7,1,male,none,2,savings_insurance,54,none,own,3,skilled,1,yes,yes,1,2024,10
no_checking,22,prior_payments_delayed,furniture,1872,100_to_500,1_to_4,3,female,none,3,real_estate,41,stores,own,1,unskilled,1,yes,yes,0,2022,9
less_0,6,all_credits_paid_back,vacation,3184,less_100,1_to_4,2,female,none,1,savings_insurance,23,bank,rent,1,unskilled,1,none,yes,0,2024,2
less_0,20,credits_paid_to_date,furniture,548,less_100,less_1,1,female,none,1,car_other,31,none,own,1,skilled,1,none,yes,0,2023,7
no_checking,32,outstanding_credit,vacation,10662,500_to_1000,greater_7,4,male,co-applicant,5,unknown,57,none,free,2,skilled,2,yes,yes,1,2023,9
no_checking,38,prior_payments_delayed,appliances,9608,100_to_500,4_to_7,4,male,co-applicant,2,car_other,47,none,free,2,skilled,1,yes,yes,0,2021,12
no_checking,22,prior_payments_delayed,radio_tv,6591,100_to_500,4_to_7,4,female,none,4,unknown,58,none,free,2,skilled,1,yes,yes,0,2021,3
0_to_200,16,credits_paid_to_date,repairs,761,less_100,4_to_7,2,male,none,1,savings_insurance,19,bank,rent,1,unemployed,2,none,yes,0,2023,10
less_0,15,prior_payments_delayed,furniture,250,less_100,1_to_4,2,male,none,3,real_estate,32,none,own,3,skilled,1,yes,no,0,2021,3
no_checking,13,outstanding_credit,appliances,2031,100_to_500,greater_7,4,male,none,3,car_other,47,none,own,1,management_self-employed,1,none,yes,0,2022,6
no_checking,17,all_credits_paid_back,car_new,2117,500_to_1000,4_to_7,4,male,none,4,real_estate,28,none,own,2,skilled,1,none,yes,0,2023,7
no_checking,35,outstanding_credit,repairs,2833,greater_1000,greater_7,4,male,none,3,car_other,41,none,own,1,skilled,1,yes,yes,1,2023,4
no_checking,37,prior_payments_delayed,appliances,5776,unknown,greater_7,4,male,co-applicant,4,savings_insurance,44,none,own,2,skilled,1,none,yes,1,2023,8
less_0,14,credits_paid_to_date,car_used,7536,500_to_1000,4_to_7,4,male,guarantor,4,unknown,41,stores,own,2,unskilled,1,yes,yes,0,2022,5
0_to_200,21,credits_paid_to_date,car_new,2861,500_to_1000,1_to_4,4,male,none,3,savings_insurance,44,none,own,2,skilled,1,none,yes,0,2021,10
no_checking,42,prior_payments_delayed,repairs,9115,greater_1000,greater_7,4,male,co-applicant,3,car_other,39,none,free,2,skilled,1,yes,yes,0,2021,4
less_0,7,credits_paid_to_date,car_new,1184,less_100,1_to_4,2,female,none,3,real_estate,19,none,own,1,skilled,1,none,yes,0,2024,11
less_0,6,prior_payments_delayed,furniture,1431,less_100,4_to_7,4,male,none,3,real_estate,24,none,rent,1,skilled,1,none,yes,0,2024,5
0_to_200,29,credits_paid_to_date,retraining,1125,less_100,less_1,1,female,none,2,savings_insurance,23,stores,own,1,skilled,1,none,yes,0,2023,6
no_checking,9,outstanding_credit,appliances,2333,100_to_500,greater_7,3,male,none,4,car_other,57,none,own,1,management_self-employed,2,none,yes,0,2021,2
no_checking,11,credits_paid_to_date,car_new,2875,less_100,less_1,3,female,none,3,savings_insurance,32,stores,own,2,unskilled,1,yes,yes,0,2021,4
less_0,13,all_credits_paid_back,car_used,250,less_100,less_1,2,female,none,2,real_estate,31,none,rent,2,skilled,1,none,yes,0,2023,12
greater_200,6,all_credits_paid_back,car_new,1818,less_100,1_to_4,4,female,none,1,car_other,50,none,own,1,skilled,2,yes,yes,0,2024,5
no_checking,40,prior_payments_delayed,other,7146,500_to_1000,1_to_4,4,male,none,5,savings_insurance,39,none,own,2,management_self-employed,1,none,yes,0,2022,1
no_checking,21,outstanding_credit,car_used,4292,500_to_1000,less_1,2,male,co-applicant,3,car_other,46,none,free,2,unemployed,2,yes,no,1,2022,5
less_0,16,credits_paid_to_date,furniture,1373,less_100,4_to_7,2,male,none,3,savings_insurance,26,bank,own,1,unemployed,2,none,yes,0,2024,1
less_0,16,all_credits_paid_back,furniture,781,less_100,less_1,2,male,none,1,real_estate,32,none,own,2,skilled,1,none,yes,0,2024,4
less_0,18,all_credits_paid_back,car_new,388,less_100,less_1,1,female,none,1,real_estate,21,none,rent,1,skilled,1,none,yes,0,2022,9
no_checking,23,credits_paid_to_date,furniture,3802,100_to_500,1_to_4,2,male,co-applicant,5,unknown,44,bank,free,1,unskilled,2,yes,no,0,2021,4
0_to_200,30,prior_payments_delayed,car_used,4714,greater_1000,greater_7,3,male,none,5,savings_insurance,31,none,own,2,skilled,1,none,yes,0,2021,3
no_checking,14,credits_paid_to_date,furniture,1812,500_to_1000,greater_7,2,male,none,1,savings_insurance,38,none,own,2,skilled,1,none,yes,0,2021,6
0_to_200,15,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,0,2024,1
no_checking,22,outstanding_credit,appliances,5303,500_to_1000,greater_7,4,male,co-applicant,4,car_other,51,none,free,2,skilled,2,yes,yes,1,2022,4
0_to_200,25,outstanding_credit,furniture,875,100_to_500,1_to_4,3,female,none,3,savings_insurance,34,stores,free,2,skilled,1,yes,yes,0,2024,3
less_0,6,all_credits_paid_back,car_new,250,less_100,4_to_7,3,male,none,1,real_estate,31,none,own,1,skilled,1,none,yes,0,2022,10
no_checking,22,prior_payments_delayed,radio_tv,11347,100_to_500,1_to_4,4,male,co-applicant,2,unknown,47,stores,own,1,unskilled,2,yes,yes,0,2022,11
0_to_200,21,credits_paid_to_date,furniture,2375,less_100,unemployed,4,female,none,1,real_estate,41,none,own,1,skilled,1,none,yes,0,2023,7
less_0,22,prior_payments_delayed,car_used,250,100_to_500,greater_7,4,male,none,4,savings_insurance,33,none,rent,2,skilled,1,none,yes,1,2021,7
0_to_200,28,credits_paid_to_date,furniture,4135,less_100,less_1,3,female,co-applicant,2,car_other,46,none,own,1,skilled,1,none,yes,0,2023,3
no_checking,50,outstanding_credit,appliances,7264,unknown,greater_7,4,male,co-applicant,2,unknown,63,bank,own,2,unemployed,2,yes,yes,1,2021,5
no_checking,23,credits_paid_to_date,furniture,539,less_100,1_to_4,4,female,none,2,real_estate,33,none,own,1,skilled,1,yes,yes,0,2024,7
less_0,27,credits_paid_to_date,radio_tv,250,less_100,1_to_4,2,male,none,2,real_estate,39,stores,own,1,skilled,1,none,yes,0,2022,5
0_to_200,20,prior_payments_delayed,retraining,6946,500_to_1000,1_to_4,3,male,none,4,unknown,42,none,free,3,skilled,1,yes,yes,1,2021,11
no_checking,33,outstanding_credit,repairs,5841,unknown,greater_7,4,male,none,3,unknown,45,none,own,2,skilled,1,none,yes,1,2023,11
greater_200,6,all_credits_paid_back,education,4836,less_100,unemployed,2,female,none,3,savings_insurance,35,none,own,1,management_self-employed,1,none,yes,0,2021,10
0_to_200,25,credits_paid_to_date,radio_tv,853,less_100,4_to_7,3,male,none,1,real_estate,28,stores,own,1,skilled,1,none,yes,0,2024,7
no_checking,12,credits_paid_to_date,furniture,1751,500_to_1000,greater_7,3,male,none,3,savings_insurance,31,none,own,1,skilled,1,none,yes,0,2023,2
0_to_200,21,credits_paid_to_date,car_new,1912,500_to_1000,1_to_4,2,male,co-applicant,4,car_other,25,none,free,1,skilled,2,yes,yes,1,2021,7
greater_200,15,credits_paid_to_date,furniture,3046,less_100,less_1,2,female,none,3,real_estate,28,none,own,1,skilled,1,none,yes,0,2021,6
no_checking,37,prior_payments_delayed,other,3674,unknown,4_to_7,3,male,none,4,savings_insurance,26,bank,own,1,unemployed,1,none,yes,0,2022,4
0_to_200,6,no_credits,car_new,5033,less_100,unemployed,2,female,none,4,car_other,22,none,own,1,skilled,1,none,yes,0,2023,1
no_checking,34,prior_payments_delayed,repairs,6054,unknown,4_to_7,2,male,none,5,car_other,43,none,rent,2,skilled,1,yes,yes,0,2024,7
less_0,25,outstanding_credit,furniture,950,100_to_500,less_1,2,male,co-applicant,1,real_estate,36,none,free,1,management_self-employed,1,yes,yes,0,2021,10
0_to_200,21,credits_paid_to_date,repairs,766,less_100,4_to_7,2,male,none,2,savings_insurance,19,bank,rent,1,unemployed,1,none,yes,0,2024,9
no_checking,31,outstanding_credit,radio_tv,1330,unknown,4_to_7,3,male,none,4,savings_insurance,35,none,own,1,skilled,1,yes,yes,0,2024,8
no_checking,39,no_credits,retraining,922,greater_1000,greater_7,2,male,guarantor,5,real_estate,39,bank,rent,2,skilled,1,none,yes,0,2023,6
less_0,24,prior_payments_delayed,car_used,1658,greater_1000,1_to_4,3,male,none,4,real_estate,19,stores,rent,2,skilled,2,none,yes,0,2021,6
0_to_200,11,credits_paid_to_date,car_used,1263,100_to_500,less_1,1,female,none,4,real_estate,28,none,rent,1,skilled,1,none,yes,0,2021,2
0_to_200,6,credits_paid_to_date,car_new,2024,500_to_1000,1_to_4,2,male,co-applicant,4,car_other,42,none,free,1,skilled,1,yes,yes,1,2023,9
less_0,16,all_credits_paid_back,car_new,1192,less_100,4_to_7,1,male,none,1,real_estate,32,none,own,1,skilled,1,none,yes,0,2022,8
no_checking,24,outstanding_credit,furniture,3596,500_to_1000,greater_7,4,male,none,1,car_other,41,none,free,1,skilled,1,yes,yes,0,2023,3
less_0,14,outstanding_credit,appliances,1191,100_to_500,unemployed,2,female,guarantor,2,car_other,32,bank,own,2,skilled,2,none,no,0,2023,7
less_0,6,prior_payments_delayed,furniture,4056,less_100,4_to_7,3,male,none,2,savings_insurance,31,none,rent,1,skilled,1,none,yes,1,2021,2
0_to_200,35,outstanding_credit,appliances,4587,unknown,greater_7,4,male,none,4,unknown,40,none,own,2,skilled,2,yes,yes,1,2023,11
less_0,8,all_credits_paid_back,car_used,397,100_to_500,unemployed,2,female,none,2,real_estate,19,bank,rent,1,unemployed,1,none,yes,0,2024,7
0_to_200,12,credits_paid_to_date,vacation,2935,less_100,1_to_4,4,female,none,1,savings_insurance,21,none,rent,2,skilled,1,none,yes,0,2022,1
0_to_200,13,prior_payments_delayed,furniture,3035,100_to_500,1_to_4,3,male,none,4,car_other,27,none,own,3,management_self-employed,1,none,yes,1,2023,5
less_0,19,all_credits_paid_back,car_used,736,greater_1000,greater_7,3,female,co-applicant,2,real_estate,29,none,free,1,unemployed,1,yes,no,0,2021,9
0_to_200,18,credits_paid_to_date,car_used,3053,less_100,less_1,4,male,none,1,real_estate,25,none,rent,1,skilled,1,none,yes,0,2024,12
no_checking,6,outstanding_credit,retraining,250,unknown,unemployed,2,female,guarantor,3,unknown,23,none,own,1,skilled,1,none,yes,0,2023,8
less_0,15,prior_payments_delayed,furniture,3038,500_to_1000,greater_7,4,male,none,1,car_other,40,stores,own,2,skilled,1,none,yes,0,2021,8
no_checking,37,outstanding_credit,radio_tv,9584,unknown,greater_7,3,male,co-applicant,5,unknown,49,stores,own,2,unemployed,2,yes,yes,1,2023,7
0_to_200,15,prior_payments_delayed,car_new,2192,less_100,4_to_7,4,male,none,2,savings_insurance,35,bank,rent,1,unskilled,1,yes,yes,0,2024,12
less_0,18,prior_payments_delayed,appliances,334,500_to_1000,4_to_7,4,male,none,5,car_other,30,stores,own,1,skilled,1,none,yes,0,2022,3
less_0,9,all_credits_paid_back,car_new,1321,less_100,less_1,1,female,none,3,real_estate,23,none,rent,1,skilled,1,none,yes,0,2021,6
no_checking,48,outstanding_credit,other,5060,500_to_1000,greater_7,4,male,co-applicant,3,unknown,54,none,free,2,skilled,2,yes,yes,1,2024,12
0_to_200,12,credits_paid_to_date,furniture,2016,less_100,less_1,1,female,none,3,savings_insurance,31,stores,own,1,skilled,1,none,yes,0,2022,12
less_0,21,credits_paid_to_date,car_new,250,less_100,1_to_4,3,female,none,1,savings_insurance,31,stores,own,2,skilled,2,none,yes,0,2022,6
0_to_200,17,credits_paid_to_date,vacation,2295,less_100,1_to_4,1,female,none,1,car_other,38,none,free,1,skilled,1,none,yes,0,2022,5
0_to_200,14,prior_payments_delayed,car_new,5006,100_to_500,1_to_4,3,male,none,5,car_other,33,none,rent,2,management_self-employed,1,none,yes,0,2023,4
less_0,6,all_credits_paid_back,car_new,250,less_100,unemployed,2,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,0,2022,4
no_checking,45,credits_paid_to_date,vacation,6931,unknown,greater_7,4,male,none,4,car_other,36,none,own,2,skilled,2,yes,yes,1,2022,5
no_checking,24,outstanding_credit,appliances,5809,500_to_1000,4_to_7,4,male,none,3,car_other,41,none,own,1,skilled,1,none,yes,1,2021,4
less_0,10,no_credits,car_new,4364,less_100,less_1,2,female,none,1,car_other,23,stores,own,2,skilled,1,none,yes,0,2024,7
no_checking,10,prior_payments_delayed,car_new,1531,100_to_500,4_to_7,3,male,none,5,savings_insurance,34,none,own,1,management_self-employed,1,none,yes,0,2022,2
0_to_200,11,prior_payments_delayed,radio_tv,2366,less_100,greater_7,4,female,none,5,car_other,58,none,free,2,skilled,1,yes,yes,0,2023,7
no_checking,40,outstanding_credit,other,8331,500_to_1000,4_to_7,4,male,none,2,car_other,36,none,free,1,management_self-employed,1,none,yes,1,2023,10
less_0,6,all_credits_paid_back,radio_tv,1202,less_100,unemployed,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,0,2021,7
no_checking,12,credits_paid_to_date,car_new,2953,less_100,less_1,1,female,none,4,savings_insurance,21,stores,own,2,unskilled,1,yes,yes,0,2023,6
less_0,14,prior_payments_delayed,car_used,1193,less_100,1_to_4,2,male,none,3,car_other,26,none,own,2,skilled,1,none,yes,0,2021,10
no_checking,45,all_credits_paid_back,furniture,3248,100_to_500,less_1,1,female,co-applicant,3,savings_insurance,33,none,own,1,skilled,1,none,yes,1,2024,6
less_0,24,credits_paid_to_date,radio_tv,1038,less_100,1_to_4,2,male,none,3,real_estate,25,stores,own,2,skilled,1,none,yes,0,2023,12
no_checking,10,credits_paid_to_date,furniture,2018,500_to_1000,greater_7,2,male,none,3,savings_insurance,42,none,own,1,skilled,1,none,yes,0,2021,2
0_to_200,6,prior_payments_delayed,car_new,3212,less_100,4_to_7,1,male,co-applicant,5,car_other,48,none,own,1,skilled,1,none,yes,1,2021,3
no_checking,28,prior_payments_delayed,appliances,3570,100_to_500,4_to_7,2,female,none,2,savings_insurance,56,none,own,1,skilled,1,none,yes,0,2023,8
no_checking,28,prior_payments_delayed,appliances,6766,unknown,greater_7,4,male,none,2,car_other,55,none,own,3,skilled,1,yes,yes,0,2024,11
less_0,17,credits_paid_to_date,car_new,4193,less_100,1_to_4,2,male,none,1,real_estate,23,none,own,1,skilled,1,none,yes,0,2024,3
less_0,8,no_credits,car_new,3070,less_100,less_1,1,female,none,4,car_other,27,stores,own,1,skilled,1,none,yes,0,2024,1
0_to_200,26,prior_payments_delayed,furniture,5320,less_100,4_to_7,4,male,co-applicant,5,unknown,55,bank,own,2,skilled,1,yes,yes,1,2023,8
no_checking,29,prior_payments_delayed,other,3202,unknown,4_to_7,4,male,none,4,savings_insurance,28,bank,own,1,unemployed,1,none,yes,0,2021,2
0_to_200,19,prior_payments_delayed,car_used,4578,greater_1000,greater_7,4,male,none,4,savings_insurance,37,none,own,3,skilled,1,none,yes,0,2021,11
less_0,7,all_credits_paid_back,car_used,4221,less_100,1_to_4,4,male,none,1,car_other,34,none,free,1,skilled,1,none,yes,0,2024,5
less_0,32,credits_paid_to_date,business,3405,less_100,less_1,4,male,none,4,savings_insurance,22,none,own,1,skilled,1,none,yes,0,2023,12
no_checking,6,no_credits,car_new,943,less_100,1_to_4,3,female,none,3,real_estate,39,none,own,1,management_self-employed,2,none,yes,0,2022,5
no_checking,16,prior_payments_delayed,car_used,895,greater_1000,1_to_4,2,male,none,4,real_estate,37,none,own,1,management_self-employed,1,yes,yes,0,2021,1
less_0,19,prior_payments_delayed,furniture,1732,less_100,1_to_4,4,female,none,3,car_other,32,none,own,1,skilled,1,none,yes,0,2022,7
less_0,22,prior_payments_delayed,car_used,250,greater_1000,1_to_4,3,male,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,0,2023,3
no_checking,18,outstanding_credit,education,6582,500_to_1000,1_to_4,4,male,none,1,car_other,54,none,own,2,management_self-employed,1,none,yes,0,2024,4
no_checking,6,credits_paid_to_date,vacation,4184,less_100,4_to_7,3,male,none,2,car_other,41,none,own,1,management_self-employed,1,yes,yes,1,2023,4
0_to_200,12,credits_paid_to_date,car_new,1619,500_to_1000,1_to_4,3,male,co-applicant,4,car_other,38,none,free,1,skilled,1,yes,yes,1,2024,6
no_checking,24,prior_payments_delayed,appliances,6015,100_to_500,4_to_7,4,male,none,4,car_other,45,none,own,1,skilled,1,none,yes,1,2021,2
no_checking,25,prior_payments_delayed,education,6600,500_to_1000,greater_7,1,male,none,3,unknown,47,none,own,3,skilled,1,none,yes,1,2022,10
no_checking,36,credits_paid_to_date,vacation,5531,unknown,greater_7,4,male,none,3,car_other,31,none,own,2,skilled,2,yes,yes,1,2022,2
no_checking,39,outstanding_credit,retraining,5887,500_to_1000,4_to_7,4,male,none,5,savings_insurance,43,stores,free,2,unskilled,1,yes,yes,1,2022,7
no_checking,29,prior_payments_delayed,radio_tv,10542,100_to_500,1_to_4,4,male,co-applicant,2,unknown,55,stores,own,1,unskilled,2,yes,yes,0,2021,6
no_checking,39,prior_payments_delayed,appliances,4489,500_to_1000,greater_7,4,male,none,4,car_other,48,bank,own,1,unemployed,2,yes,yes,1,2024,4
0_to_200,15,credits_paid_to_date,furniture,1342,less_100,4_to_7,3,male,none,2,savings_insurance,38,none,rent,1,skilled,1,none,yes,0,2024,12
0_to_200,12,credits_paid_to_date,vacation,2219,less_100,1_to_4,4,female,none,3,car_other,31,none,free,1,skilled,1,none,yes,0,2021,4
greater_200,9,all_credits_paid_back,education,5482,less_100,unemployed,1,female,none,3,savings_insurance,32,none,own,1,management_self-employed,1,none,yes,0,2022,7
less_0,17,prior_payments_delayed,car_used,874,100_to_500,greater_7,4,male,none,5,savings_insurance,25,none,rent,1,skilled,1,none,yes,1,2022,1
0_to_200,31,prior_payments_delayed,furniture,7516,less_100,1_to_4,1,female,none,2,real_estate,59,bank,rent,2,unskilled,1,yes,yes,1,2024,1
less_0,19,credits_paid_to_date,repairs,3377,less_100,1_to_4,3,male,none,2,real_estate,25,none,own,1,skilled,1,none,yes,0,2024,11
